source,author,title,description,content,publishedAt,url,provider,query_type,language,fetched_at,id,text,created_at,lang,combined_text,processed_text,text_length,processed_length,word_count
Times of India,,Sangli woman held for Rs 2 lakh extortion bid - Times of India,Sangli woman held for Rs 2 lakh extortion bid  Times of India,Sangli woman held for Rs 2 lakh extortion bid  Times of India,"Sat, 04 Oct 2025 19:24:00 GMT",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNUXlFMEVDXzJFTmEyNWFUSnVkU25Pb2JJQU5FbzBOWTI3aWI1emNSN1lqcGh3b3pwR0gxeDlJLVVFQkpkRW1OVGJkTEtCZjNxU0JCOHZRUmdDYmtIWUZsMGVfa2stNzNNZjFjNDVreWlIay1WbThMX0ZCVVI4T2I5eEZobFVsY210QlZfRHhxZi1tSEJkc29sZHNDeGNJMlRQTDlBVWdGWGc2OU12cEpIQV9kTXFMZXBu0gG-AUFVX3lxTE9PNkpHLVhnTVNqZUZqanBCMjRLUkt6MnhOS3FCbHV1NU1YdkFNR3JRY2NrM0FIcEVDaDBDS0pXZ2ZBY2JiUmd6RWZjckgwYVBjZVdoOXpVbWN5dktXM2VabU9iV20xd1IyRUEwWDZPZTZ6cHV1Q05yS1ljSF9haURXcnRxejhVUGNTb3JnU3pZYjlxOWstbE43TzhKOV9uMTRhcWpJVFVIcmpCTFI3Q1RyXy16cjdIWjNLM2pqWVE?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_civic,en,2025-10-07T12:23:06.524341,,,,,sangli woman held for rs lakh extortion bid times of india sangli woman held for rs lakh extortion bid times of india sangli woman held for rs lakh extortion bid times of india,sangli woman hold rs lakh extortion bid time india,176,50,9
Times of India,,Meeting held to review proposed airport at Kavalapur in Sangli dist - Times of India,Meeting held to review proposed airport at Kavalapur in Sangli dist  Times of India,Meeting held to review proposed airport at Kavalapur in Sangli dist  Times of India,"Tue, 30 Sep 2025 19:10:00 GMT",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQbmZmZk0wSy1ubVdIaHMtTGJYbUQxNFd2ZHBqMHU4cVdJaU9vdGYwbHQydEdpemtmalRpX0lYMTF5eV9FbVdCeXEzdU1JOS04N01KTDZGVkpxTGo1VFdDeElnZGpQVV9WVUFHdEFwWE1OWUpyZ2ZCM1FBZ0N3MU9vOGZjV05UYnpXRTNVTUlfMHpkSVRWVG5KclBwVEp2VWprSEQtWDZhd0ZjRl9HWmdnZzd5MTZqWlNlY2F6NlhpV0p2YVNxcHBYckJ0aHR3TlZya2RPX3QzNWl3VDRkRjYtZ9IB4AFBVV95cUxQbmZmZk0wSy1ubVdIaHMtTGJYbUQxNFd2ZHBqMHU4cVdJaU9vdGYwbHQydEdpemtmalRpX0lYMTF5eV9FbVdCeXEzdU1JOS04N01KTDZGVkpxTGo1VFdDeElnZGpQVV9WVUFHdEFwWE1OWUpyZ2ZCM1FBZ0N3MU9vOGZjV05UYnpXRTNVTUlfMHpkSVRWVG5KclBwVEp2VWprSEQtWDZhd0ZjRl9HWmdnZzd5MTZqWlNlY2F6NlhpV0p2YVNxcHBYckJ0aHR3TlZya2RPX3QzNWl3VDRkRjYtZw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_civic,en,2025-10-07T12:23:06.524476,,,,,meeting held to review proposed airport at kavalapur in sangli dist times of india meeting held to review proposed airport at kavalapur in sangli dist times of india meeting held to review proposed airport at kavalapur in sangli dist times of india,meeting hold review propose airport kavalapur sangli dist time india,248,68,10
Pudhari News,,Sangli : शेरीनाल्याचे पाणी कृष्णेत मिसळल्याने आरोग्य धोक्यात - Pudhari News,Sangli : शेरीनाल्याचे पाणी कृष्णेत मिसळल्याने आरोग्य धोक्यात  Pudhari News,Sangli : शेरीनाल्याचे पाणी कृष्णेत मिसळल्याने आरोग्य धोक्यात  Pudhari News,"Mon, 29 Sep 2025 01:07:00 GMT",https://news.google.com/rss/articles/CBMimgFBVV95cUxPaFljT2ZGdElhV2Q2MmFMZG1TVjRqQkNHTnZtRm5JRzVWeU55Vm9uVzY3aFRyQTRpbXBmVExuWFRKZWhqTGszS2JfUXdmQkNqVkhDeHZwWXhEMFBmbGxZSG05OFVtZUdrUF83dEdIZXUxS2hrRFRrY3RlZ2QzNGZ6bktjNmdES2VUNC1qZEZRTGZmcmlTam1QbTV30gGnAUFVX3lxTE5PQ09PNlVFdXQ2QzctbU5nbWFCYU1Fd0hpeF9mNlRfUVVrZnlpSk1SWFB3bHo0ZWtaMjA2a2dsN2RMMjREM29XN1pGQ1puVHh5LVZHS0Y2TERyejhYUUlxanBTMjJWT2JNeE5mUlppaDNJTHFOV3NOc05ILXR2SnlYbHFJUnR5bHhYOEJvby1GM1QybmR6MHYzRlIzcWNXLVZyZWZLTGlv?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_marathi,mr,2025-10-07T12:23:43.960378,,,,,sangli pudhari news sangli pudhari news sangli pudhari news,sangli pudhari news,59,19,3
ABP Majha,,Sangli News: मिरजेत वर्चस्ववादातून अट्टल गुंडांनी तरुणाचा मुडदा पाडला सांगलीत नवऱ्यानं - ABP Majha,Sangli News: मिरजेत वर्चस्ववादातून अट्टल गुंडांनी तरुणाचा मुडदा पाडला सांगलीत नवऱ्यानं  ABP Majha,Sangli News: मिरजेत वर्चस्ववादातून अट्टल गुंडांनी तरुणाचा मुडदा पाडला सांगलीत नवऱ्यानं  ABP Majha,"Sun, 28 Sep 2025 11:10:57 GMT",https://news.google.com/rss/articles/CBMi7gFBVV95cUxQV3ZwaTVQZ3U0RldycDA1Um5zQ1NqX0R4Unk2RWMwSXZWWGU3TEZ4RXp6S3pidFE3SVEzLThlZGJDdEF4T1o1ek9yRHpCOF9FRDhSN0xzeXRTczk3UFUxNEx6V0NkWjJGR3JxekFLM3BNbldFRi0xSGIyNl9WSHVLU2ZFTlc3emRrbW00OXVITGJELUozaFEtS2RCRFZkSU1lOGNGZFU2RDVsa1hBZlpWbHQxOTRaWlI5ZnYteVgyUmYweXAwNlVlUUNYV0txU2U3M01MOURrbUFvY21qR3RVSVVUUzNDYnFSSy1ad2hn0gHzAUFVX3lxTE1ac3ZEZThzV2g1UzI1eDZfRkRKV21LdnotX0RCS0haVTlQY1ZYNmlsczdma21XQjZlTjlRNjcybXJwQjZTYjhodFpCbFV5bm9FcUVRQjAzQTZSMjVwaWVlT0dWS1hEVDNtRGdUZURmU1E5d3M3dk1JdmV3RnFSY1A3aDFoV0ladVN4b0VOWnU5WGR6MXpMNE9zZ2otM0p6TlRBc0hFVWJhRHc4TFVodFQ3SDh6UmdMMjgxbFZpMVljeDZYWDZmVUxvdlpQb19hd3hBenpuV2EwWDRjNWppSVFpMzFYWlZSeWRDZXFWdWVxX3JHcw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_marathi,mr,2025-10-07T12:23:43.960415,,,,,sangli news abp majha sangli news abp majha sangli news abp majha,sangli news abp majha,65,21,4
Esakal,,Sangli News: ‘शहर काँग्रेसतर्फे कर्नाळ रस्ता डांबरीकरणासाठी ‘रास्ता रोको’; विविध संघटनांचा आंदोलनाला पाठिंबा.. - Esakal,Sangli News: ‘शहर काँग्रेसतर्फे कर्नाळ रस्ता डांबरीकरणासाठी ‘रास्ता रोको’; विविध संघटनांचा आंदोलनाला पाठिंबा..  Esakal,Sangli News: ‘शहर काँग्रेसतर्फे कर्नाळ रस्ता डांबरीकरणासाठी ‘रास्ता रोको’; विविध संघटनांचा आंदोलनाला पाठिंबा..  Esakal,"Wed, 01 Oct 2025 09:08:57 GMT",https://news.google.com/rss/articles/CBMi0gFBVV95cUxORU44QjVwTDRaa19CT25FM295elRwLXlwUkVMMndpaktrbE1KNG11TDh1MmR2UXE1VHE1bU9xM1lnaDJuOFdrU05kWEpvOWpubkNNeUNocU8wbFhXMTY3V2hCcDdXLW85aGQwN0kwZENlOVNhdmFJQVRTNkx5ZW5adFppWm84a1pwNV9uZjVITTVwLWpTbERMVy0zd0hCdFNXQ3YyMkU4aGVTNHFQYVNRN0xUZFlNbkp2SUZieGtEWE9PSGFhQ0RoSVUtRHJwZDFFNGc?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_marathi,mr,2025-10-07T12:23:43.960455,,,,,sangli news esakal sangli news esakal sangli news esakal,sangli news esakal,56,18,3
Pudhari News,,Sangli : महापालिका हद्दीसह लगतचे 36 रस्ते होणार विकसित - Pudhari News,Sangli : महापालिका हद्दीसह लगतचे 36 रस्ते होणार विकसित  Pudhari News,Sangli : महापालिका हद्दीसह लगतचे 36 रस्ते होणार विकसित  Pudhari News,"Sat, 04 Oct 2025 01:35:00 GMT",https://news.google.com/rss/articles/CBMirAFBVV95cUxPdUhJYlozdWxJR3lQWURLYkR1SndEX2hLYlhjOFhLQWFVelpPdkU5Ul9IQ282a0gtaXBQcTRpSHc3VHBqdUw2Qk5zSlk2eG5LdFlacGNPZEs0dHpDcC16RGJiSTRIZnZ3OTZ3REZCb0Vnd1JuUVhubWtkc1NtUGxWQkZiTmN2YTBTWFpldTN2Z05XcHg1SkQ2dEcxWmRJZnEwWFlBMm9xTGo4ckNQ0gG6AUFVX3lxTFAwSW8tcjhCeUxFUzF1ZTNtcUd3dkdnRkxWQ1lWakpaZG1laFBrZGh6NFhiTkdqbnRVV2RkQy1aSDlMVlVEbHhUZjB0dTRwSGQzS29rZ0pnM29DRTlBbjZjRVJ5a1RmMkhxcE1sQU9WZDVlZ1FrNFFyZHlFM1oydzRoeno3ckI2RUZ4MVlvQTVRTThfOTEyTlhkbzEwRVo2WDhKZk9PVmtlT2hoZHZaQ21NWTZ2bm84T3h6UQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_marathi,mr,2025-10-07T12:23:43.960493,,,,,sangli pudhari news sangli pudhari news sangli pudhari news,sangli pudhari news,59,19,3
MSN,,Sangli : खोदकामानंतरही गारपीर चौक रस्ता चिखलातच - MSN,Sangli : खोदकामानंतरही गारपीर चौक रस्ता चिखलातच  MSN,Sangli : खोदकामानंतरही गारपीर चौक रस्ता चिखलातच  MSN,"Thu, 25 Sep 2025 16:26:39 GMT",https://news.google.com/rss/articles/CBMilwNBVV95cUxPX09sM2RCTnpfN3p2aXRfSEV4T0dLOGFUcXFhUVlsZHFGdUJSbENVRG9FcVRVVnZfTmNLWU1nQ1cyOFpFYnBXbnY1alpYek85b3JITUtzdXNWRG5CVGNUamwyWFF1eGFMN0JfYXJ3REQ2WW9TZmJvYXgzYU9ZTmJ4OHdZeUxZRVdsam44di1NYVdzcUs3UWg0eDFiWWptU215SE15R1lVWFpLYXBGYUlDQVQ1VWx5TmNHZUU3QlNLWG1vdWRhRGgzOHdiQTVKME03MFVBU21IRTFwUWdRNDRucUFrNjhGT3RucE1CMDhUeFlQMFhzNUVQSDNpU3hQSzRtQm1TYllOb3lDRFNZTS03OGZQWThaYUNyQVpUcHl2RVVsQ0hkNzNYLTVGODdGa1lZb3hTZmRudHZqT3d5SnVpZWY3YW1Ud1ItLWNNWXhpUFFhRFZjQ2hzbnhnRTdhTnhQUHRSNWUtTlJkczJJZ3BKWFJQY01BLTJyU29oZllqSXV6bVNFTDZqWDNGTVZrV3ZVOHZPTHhBQQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_marathi,mr,2025-10-07T12:23:43.960530,,,,,sangli msn sangli msn sangli msn,sangli msn,32,10,2
Pudhari News,,"Sangli News: नदी प्रदूषणावरून 101 उद्योगांना नोटीस, अंतरिम आदेश - Pudhari News","Sangli News: नदी प्रदूषणावरून 101 उद्योगांना नोटीस, अंतरिम आदेश  Pudhari News","Sangli News: नदी प्रदूषणावरून 101 उद्योगांना नोटीस, अंतरिम आदेश  Pudhari News","Thu, 25 Sep 2025 01:38:00 GMT",https://news.google.com/rss/articles/CBMipwFBVV95cUxQVGhFc2JPQ01pQ01xWl8xZVI4SHZTVG02Z09nclR5cnh6RnZEbWhLOGJGSS1GWmRfQzlBcG53TUpLZWF1Q2VrOWpXMHpQa0daSmlFVm56ZGotRm1kM1pmbXM3NVZQTmtuM1BKQWJaN2E4YTFqdHNNc2ZzSGFIUkhoQWRQUXVVVEpXY1ZZemdPaWRTWDcwVlJVSDV6Zjhyb0E3UlNwOFE2ONIBtAFBVV95cUxOT2RSZGJwM1Jib05ONTVZWTZkZW95a0NpbEQtT2k1UGlhcFA0Z25feHRLcjNxeU0zVEk5RTkwam9aYXNlanJZT3YtYUFnZ0dJUnFTb3g3TjVuUUQ1TUZfT19YZ01uMENfdDc4WmU2d1N1NVViRS1JcnpnVnpDUmNob0tBbmliUjdfYm5zYklEVGNlM1lSMlc0M2d4bDhXN1BOaFdta2o4UEFiNzVGM1VjcHRxZkY?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_marathi,mr,2025-10-07T12:23:43.960543,,,,,sangli news pudhari news sangli news pudhari news sangli news pudhari news,sangli news pudhari,74,19,3
Pudhari News,,Sangli crime : सांगलीत व्यापार्‍याच्या घरातील जबरी चोरीचा डाव फसला - Pudhari News,Sangli crime : सांगलीत व्यापार्‍याच्या घरातील जबरी चोरीचा डाव फसला  Pudhari News,Sangli crime : सांगलीत व्यापार्‍याच्या घरातील जबरी चोरीचा डाव फसला  Pudhari News,"Fri, 03 Oct 2025 23:57:00 GMT",https://news.google.com/rss/articles/CBMikwFBVV95cUxOeHFTai1WYjV2eHRsRWJQZUNFckd1akNyWDVRbjI3X0NaY0w2R3BuN0RFWDYyU2pkQkhtZWlLVjdNNkM3QWlRMTNVMk14MWhPN1VMRDJ2bUVxQmpUYkpDa2pCd1hlMjRWQ09OQjgxVTlEMmVMeEZEUDVBeU9oM2lVZmw5LUNBd3hfYjZnaF85NzZYSmfSAaABQVVfeXFMT1dGZWdnaGI4RlB4cGNCeHZaTzFGNjFBOGtLV3FtVVZjOVlYMy1DZ3ZTWUcybFI2RWl6UkNGYkpCYzJNQUtPdzRtYktwYUdneWlqaUZwLW12cXg1dFZpSjJjbXQwUkFfNUpTbzVsYVgyT3V6X1JPc1NrOVV1MTFyNVNXcnljMGxiWE9weDF1X1UyQ3RQZzVlRy1jWktYZ2NiMw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_marathi,mr,2025-10-07T12:23:43.960556,,,,,sangli crime pudhari news sangli crime pudhari news sangli crime pudhari news,sangli crime pudhari news,77,25,4
Pudhari News,,Sangli rain : जिल्ह्याला पावसाने झोडपले - Pudhari News,Sangli rain : जिल्ह्याला पावसाने झोडपले  Pudhari News,Sangli rain : जिल्ह्याला पावसाने झोडपले  Pudhari News,"Sun, 28 Sep 2025 00:00:00 GMT",https://news.google.com/rss/articles/CBMihgFBVV95cUxQWExoOUlBWVhzaUMxcjZwWndYcmd0Sm50bTdmOFEtNDVaTnZyTi1rTTNhcVd4TkFwYnVQMUcxV1hHS3BxanpqWVZTV3d0SEt3S2piV0JOMVY4MTVUSmhKcEJkaElKd2NUa21wenpGYmV1NzFqZksyNE5ENkctUWtZZTFXVkozQdIBkwFBVV95cUxNYm5XdGRETllUeDQ0QU5oU0ROWl9objBNdmJNYUFud250X3pacUl5LUhQYUx5YU03bHlRUUxHck0tdGg4YjI1VDJpZFJOS1ppVWZWclZUZDZjbDhwek03VkN6eUdWOW1Jb3ljNno2RTBKWkw0T0RZc2EteDludHozR1lUWE1zZEd1ZmVoUDBkZGhHUXc?oc=5&hl=en-IN&gl=IN&ceid=IN:en,GNews_Local,sangli_marathi,mr,2025-10-07T12:23:43.960569,,,,,sangli rain pudhari news sangli rain pudhari news sangli rain pudhari news,sangli rain pudhari news,74,24,4
